restaurant_name,original_category,standard_category,item_type,item_name,grammage,description,price_ron,currency,scraped_at
Berăria H,DESERT,Desert,Desert,CHEESE CAKE,180g,,32.0,RON,2026-09-04T14:33:41.352Z
Berăria H,DESERT,Desert,Desert,CARROT CAKE,200g,,32.0,RON,2026-09-04T14:33:41.352Z
Berăria H,DESERT,Desert,Desert,BROWNIE,150g,,37.0,RON,2026-09-04T14:33:41.352Z
Berăria H,DESERT,Desert,Desert,ECLER MĂRICEL,180g,,37.0,RON,2026-09-04T14:33:41.352Z
Berăria H,DESERT,Desert,Desert,ȘTRUDEL MERE,180g,"Cu ciocolată sau vanilie, adorat de pofticioși",24.0,RON,2026-09-04T14:33:41.352Z
Berăria H,DESERT,Desert,Desert,ADAUGĂ SOS VANILIE,30g,"Un ștrudel extra gustos cu mere proaspete, copt la noi în bucătărie",4.5,RON,2026-09-04T14:33:41.352Z
Berăria H,SALATE DE ÎNSOȚIRE,Mâncăruri Gătite & Specialități,Mâncare Gătită,SALATĂ VARZĂ,150g,DE,11.0,RON,2026-09-04T14:33:41.352Z
Berăria H,SALATE DE ÎNSOȚIRE,Salate,Salată,SALATĂ COLESLAW,150g,Salată clasică de varză albă,14.0,RON,2026-09-04T14:33:41.352Z
Berăria H,SALATE DE ÎNSOȚIRE,Mâncăruri Gătite & Specialități,Mâncare Gătită,SALATĂ MURĂTURI ASORTATE,150g,"O salată cât mai sănătoasă cu varză, morcov, stafide și dressing vegetal",14.0,RON,2026-09-04T14:33:41.352Z
Berăria H,SALATE DE ÎNSOȚIRE,Mâncăruri Gătite & Specialități,Mâncare Gătită,SALATĂ ARDEI COPȚI150g,,"Murături pline de gust, amestecate pentru tine",14.0,RON,2026-09-04T14:33:41.352Z
Berăria H,SALATE DE ÎNSOȚIRE,Mâncăruri Gătite & Specialități,Mâncare Gătită,SALATĂ ASORTATĂ,150g,"Ardei copți pe plită într-un amestec de ulei, oțet și sare",14.0,RON,2026-09-04T14:33:41.352Z
Berăria H,SALATE DE ÎNSOȚIRE,Mâncăruri Gătite & Specialități,Mâncare Gătită,SALATĂ CEAPĂ ROȘIE,150g,"Roșii, castraveți, ceapă și sare",11.0,RON,2026-09-04T14:33:41.352Z
Berăria H,PÂINE,Sosuri & Extra,Sos / Extra,COȘ PÂINE COVRIG,,&,9.0,RON,2026-09-04T14:33:41.352Z
Berăria H,GARNITURI,Mâncăruri Gătite & Specialități,Mâncare Gătită,CARTOFI BERĂREȘTI,200g,,16.9,RON,2026-09-04T14:33:41.352Z
