id_comanda,data_ora,nume_restaurant,tip_comanda,metoda_plata,numar_masa,id_ospatar,nume_produs,categorie_standard,cantitate,pret_unitar_ron,total_linie_ron
ORD-202608-00001,2026-08-30 14:57:36,Restaurantul Nostru,La Masa,Numerar,Masa 13,OSP-08,Cappuccino cu Spumă de Lapte,Băuturi Răcoritoare & Cafea,2,15.0,30.0
ORD-202608-00001,2026-08-30 14:57:36,Restaurantul Nostru,La Masa,Numerar,Masa 13,OSP-08,Frăție de Mici & Cârnați,Preparate la Grătar & Mici,1,54.0,54.0
ORD-202608-00001,2026-08-30 14:57:36,Restaurantul Nostru,La Masa,Numerar,Masa 13,OSP-08,Salată de Vinete Coapte pe Plită,Aperitive & Gustări,2,24.0,48.0
ORD-202608-00001,2026-08-30 14:57:36,Restaurantul Nostru,La Masa,Numerar,Masa 13,OSP-08,Cârnați Picanți de Pleșcoi,Cârnați & Platouri,1,42.0,42.0
ORD-202608-00001,2026-08-30 14:57:36,Restaurantul Nostru,La Masa,Numerar,Masa 13,OSP-08,Limonadă Proaspătă cu Miere și Mentă 0.5L,Băuturi Răcoritoare & Cafea,1,20.0,20.0
ORD-202608-00002,2026-08-09 14:36:10,Restaurantul Nostru,La Masa,Card,Masa 14,OSP-12,Bere Ciuc Premium la Draught 0.4L,Băuturi Alcoolice & Bere,1,14.0,14.0
ORD-202608-00002,2026-08-09 14:36:10,Restaurantul Nostru,La Masa,Card,Masa 14,OSP-12,Platou Boieresc (2-3 persoane),Cârnați & Platouri,1,145.0,145.0
ORD-202608-00003,2026-08-25 11:56:43,Restaurantul Nostru,La Masa,Bonuri de Masa,Masa 28,OSP-04,Cartofi Prăjiți cu Usturoi și Parmezan,Garnituri,1,18.0,18.0
ORD-202608-00003,2026-08-25 11:56:43,Restaurantul Nostru,La Masa,Bonuri de Masa,Masa 28,OSP-04,Cappuccino cu Spumă de Lapte,Băuturi Răcoritoare & Cafea,2,15.0,30.0
ORD-202608-00003,2026-08-25 11:56:43,Restaurantul Nostru,La Masa,Bonuri de Masa,Masa 28,OSP-04,Burger Casei cu Cartofi Prăjiți,Mâncăruri Gătite & Specialități,1,49.0,49.0
ORD-202608-00003,2026-08-25 11:56:43,Restaurantul Nostru,La Masa,Bonuri de Masa,Masa 28,OSP-04,Ciorbă de Văcuță,Ciorbe & Supe,1,25.0,25.0
ORD-202608-00003,2026-08-25 11:56:43,Restaurantul Nostru,La Masa,Bonuri de Masa,Masa 28,OSP-04,Smântână Proaspătă 20%,Sosuri & Extra,1,5.0,5.0
