restaurant_name,original_category,standard_category,item_type,item_name,grammage,description,price_ron,currency,scraped_at
Restaurantul Nostru,Preparate la Grătar & Mici,Preparate la Grătar & Mici,Mici,Mici Românești de Vită-Porc (1 buc),80g,"Mici zemoși preparați pe grătar cu cărbuni, serviți cu muștar",7.5,RON,2026-09-04T18:16:51.117114
Restaurantul Nostru,Preparate la Grătar & Mici,Preparate la Grătar & Mici,Mici,Mici de Oaie și Vită (1 buc),80g,Mici tradiționali din carne de oaie și vită la grătar,8.5,RON,2026-09-04T18:16:51.117114
Restaurantul Nostru,Preparate la Grătar & Mici,Preparate la Grătar & Mici,Friptură / Grătar,Ceafă de Porc la Grătar,250g,Fragedă și marinat în mirodenii tradiționale,38.0,RON,2026-09-04T18:16:51.117114
Restaurantul Nostru,Preparate la Grătar & Mici,Preparate la Grătar & Mici,Friptură / Grătar,Piept de Pui la Grătar,220g,Piept de pui suculent la grătar cu ierburi aromatice,34.0,RON,2026-09-04T18:16:51.117114
Restaurantul Nostru,Preparate la Grătar & Mici,Preparate la Grătar & Mici,Mici,Frăție de Mici & Cârnați,450g,"4 mici românești, cârnați afumați, cartofi prăjiți și muștar",54.0,RON,2026-09-04T18:16:51.117114
Restaurantul Nostru,Preparate la Grătar & Mici,Preparate la Grătar & Mici,Friptură / Grătar,Frigărui de Berbecuț,250g,Carne fragedă de berbecuț cu ardei și ceapă la grătar,58.0,RON,2026-09-04T18:16:51.117114
Restaurantul Nostru,Ciorbe & Supe,Ciorbe & Supe,Ciorbă / Supă,Ciorbă de Perișoare,400ml,Ciorbă acrișoară cu perișoare din carne de vită și porc,24.0,RON,2026-09-04T18:16:51.117114
Restaurantul Nostru,Ciorbe & Supe,Ciorbe & Supe,Ciorbă / Supă,Ciorbă Rădăuțeană de Pui,400ml,"Ciorbă cremoasă cu pui, smântână, usturoi și ardei iute",26.0,RON,2026-09-04T18:16:51.117114
Restaurantul Nostru,Ciorbe & Supe,Ciorbe & Supe,Ciorbă / Supă,Ciorbă de Burtiță Tradițională,400ml,Servită cu smântână proaspătă și ardei iute,28.0,RON,2026-09-04T18:16:51.117114
Restaurantul Nostru,Ciorbe & Supe,Ciorbe & Supe,Ciorbă / Supă,Ciorbă de Văcuță,400ml,Bogată în legume proaspete și bucăți fragede de mânzat,25.0,RON,2026-09-04T18:16:51.117114
Restaurantul Nostru,Ciorbe & Supe,Ciorbe & Supe,Ciorbă / Supă,Supă Cremă de Legume cu Crutoane,350ml,Supă fină de legume proaspete cu crutoane aromate,22.0,RON,2026-09-04T18:16:51.117114
Restaurantul Nostru,Cârnați & Platouri,Cârnați & Platouri,Platou,Platou Boieresc (2-3 persoane),1200g,"Ceafă de porc, mici, cârnați afumați, cartofi berărești, varză murată",145.0,RON,2026-09-04T18:16:51.117114
Restaurantul Nostru,Cârnați & Platouri,Cârnați & Platouri,Platou,Platou Cârnați Asortați,800g,"Cârnați de casă, cârnați picanți și cârnați de oaie cu hrean",95.0,RON,2026-09-04T18:16:51.117114
Restaurantul Nostru,Cârnați & Platouri,Cârnați & Platouri,Platou,Platou Gustări Rece Tradiționale,700g,"Toboșar, slăninuță, șuncă de casă, brânză de burduf, ceapă roșie",85.0,RON,2026-09-04T18:16:51.117114
Restaurantul Nostru,Cârnați & Platouri,Cârnați & Platouri,Cârnați,Cârnați Picanți de Pleșcoi,250g,"Cârnați tradiționali din carne de oaie și vită, uscați și afumați",42.0,RON,2026-09-04T18:16:51.117114
Restaurantul Nostru,Mâncăruri Gătite & Specialități,Mâncăruri Gătite & Specialități,Mâncare Gătită,Tochitură Moldovenească cu Mămăligă,450g,"Carne de porc, cârnați, ou ochi și brânză rasa peste mămăligă",48.0,RON,2026-09-04T18:16:51.117114
Restaurantul Nostru,Mâncăruri Gătite & Specialități,Mâncăruri Gătite & Specialități,Mâncare Gătită,Ciolan de Porc Rumexit la Cuptor,750g,"Ciolan rumenit cu crustă crocantă, servit cu iahnie de fasole",78.0,RON,2026-09-04T18:16:51.117114
Restaurantul Nostru,Mâncăruri Gătite & Specialități,Mâncăruri Gătite & Specialități,Mâncare Gătită,Sarmale Românești în Foi de Varză (4 buc),400g,"Sarmale din carne tocată cu mămăligă, ardei iute și smântână",44.0,RON,2026-09-04T18:16:51.117114
Restaurantul Nostru,Mâncăruri Gătite & Specialități,Mâncăruri Gătite & Specialități,Mâncare Gătită,Șnițel Gigant de Pui Pane,300g,"Crispy și auriu, preparat din piept proaspăt de pui",36.0,RON,2026-09-04T18:16:51.117114
Restaurantul Nostru,Mâncăruri Gătite & Specialități,Mâncăruri Gătite & Specialități,Mâncare Gătită,Pastramă de Oaie la Tigaie cu Mămăligă,350g,Pastramă fragedă trasă în vin și usturoi cu mămăligă caldă,56.0,RON,2026-09-04T18:16:51.117114
Restaurantul Nostru,Mâncăruri Gătite & Specialități,Mâncăruri Gătite & Specialități,Mâncare Gătită,Burger Casei cu Cartofi Prăjiți,400g,"Chiftea din carne de vită Black Angus, cheddar, bacon și sos special",49.0,RON,2026-09-04T18:16:51.117114
